Category	English	Malay	Estonian	Finnish	Hungarian	Armenian	Bengali	Nepali	Japanese	Korean	Turkish	Yoruba	Basque	Swahili	Chinese	
Installation, maintenance, and repair occupations	Office machine repairer	pembaikan mesin pejabat	kontorimasinate remonditöökoda	toimistokoneiden korjaamo	irodai gépjavító	գրասենյակային մեքենաների վերանորոգող	অফিস মেশিন মেরামতকারী	कार्यालय मिसिन मरम्मतकर्ता	オフィス機器修理業者	사무용 기계 수리공	ofis makine tamircisi	oludasile ẹrọ ile-iṣẹ	bulegoko makina konponketa	mashine ya ofisi ya mhariri	办公室机器修理工	
Installation, maintenance, and repair occupations	Power tool repairers	pembaikan alat kuasa	elektritööriistade remont	työkalun korjaus	szerszámgép javítások	էլեկտրական գործիքի վերանորոգում	শক্তি সরঞ্জাম মেরামত	पावर उपकरण मरम्मत	電動工具の修理	전동 공구 수리	elektrikli alet onarımı	ohun elo ọpa tunṣe	power tool konponketak	matengenezo ya zana ya nguvu	电动工具修理	
Installation, maintenance, and repair occupations	Precision equipment repairer	pembaikan peralatan ketepatan	täppisinstrumentide remonditöökoda	tarkkuuslaitteiden korjaamo	precíziós berendezésjavító	ճշգրիտ սարքավորումների վերանորոգող	স্পষ্টতা যন্ত্রপাতি মেরামতকারী	परिशुद्धता उपकरण मरम्मतकर्ता	精密機器修理業者	정밀 기기 수리공	hassas ekipman tamircisi	ohun-elo atunṣe ẹrọ to daju	doitasun ekipamendu konponketa	vifaa vya usahihi	精密设备修理工	
Installation, maintenance, and repair occupations	Precision instrument repairer	pembaikan alat ketepatan	täppisinstrumentide remonditöökoda	tarkkuusmittarin korjaamo	precíziós műszer javító	ճշգրտության գործիքի վերանորոգող	স্পষ্টতা যন্ত্র মেরামতকারী	परिशुद्धता उपकरण मरम्मतकर्ता	精密計器修理業者	정밀 기기 수리공	hassas alet tamircisi	ohun-elo atunṣe irin-ajo	zehaztasun tresna konponketa	chombo cha usahihi wa chombo	精密仪器修理工	
Installation, maintenance, and repair occupations	Radio installer	pemasang radio	raadio paigaldaja	radioasentaja	rádió telepítő	ռադիո տեղադրող	রেডিও ইনস্টলার	रेडियो स्थापना	無線インストーラ	라디오 설치자	radyo kurucu	olutọtọ redio	irrati-instalatzailea	msanidi wa redio	无线电安装人员	
Installation, maintenance, and repair occupations	Radio repairer	pembaikan radio	raadio remonditöökoda	radio korjaaja	rádiós javítóműhely	ռադիոտեղորոշիչ	রেডিও মেরামতকারী	रेडियो मरम्मतकर्ता	ラジオ修理業者	라디오 수선공	radyo tamircisi	aṣoju redio	irrati-konpontzailea	redio ya redio	无线电修理工	
Installation, maintenance, and repair occupations	Refractory machinery mechanic	mekanik jentera refraktori	tulekindlate masinate mehaanik	tulenkestävät koneet mekaanikko	tűzálló gépek mechanikus	հրակայուն մեքենաների մեխանիկ	অবাধ্য যন্ত্রপাতি মেকানিক	आगामी मशीनरी मैकेनिक	耐火機械メカニック	내화물 기계공	refrakter makine tamircisi	mechanic machinery ẹrọ	makineria errefraktario mekanikaria	mashine ya kinzani mashine	耐火机械机械师	
Installation, maintenance, and repair occupations	Refrigeration installer	pemasang penyejukan	külmutusseadme paigaldaja	jäähdytysasentaja	hűtő telepítő	սառնարանային սարքավորում	হিমায়ন ইনস্টলার	प्रशीतन स्थापना	冷凍インストーラ	냉동 설치자	soğutma yükleyici	olupese igbiyanju	hozte instalatzailea	friji installer	制冷安装人员	
Installation, maintenance, and repair occupations	Refrigeration mechanic	mekanik penyejukan	külmutusmehaanik	jäähdytysmekaanikko	hűtőgép szerelő	սառնարանային մեխանիկ	হিমায়ন মেকানিক	प्रशीतन मेनेनिक	冷凍機械	냉동 공법	soğutma mekaniği	onisẹ ẹrọ atunse	hozte mekanikaria	friji mechanic	制冷技工	
Installation, maintenance, and repair occupations	Repair worker	pekerja pembaik	remontööline	korjaaja	javítóműhely	վերանորոգման աշխատող	মেরামত কর্মী	मरम्मत कार्यकर्ता	修理作業員	수리공	tamir işçisi	alabaṣiṣẹṣe	konponketa-langilea	mfanyakazi wa kukarabati	修理工	
Installation, maintenance, and repair occupations	Repair worker	pekerja pembaik	remontööline	korjaaja	javítóműhely	վերանորոգման աշխատող	মেরামত কর্মী	मरम्मत कार्यकर्ता	修理作業員	수리공	tamir işçisi	alabaṣiṣẹṣe	konponketa-langilea	mfanyakazi wa kukarabati	修理工	
Installation, maintenance, and repair occupations	Repair workers helpers	pembantu pekerja pembaikan	remonditööliste abistajad	korjaamotyöntekijöitä	javítómunkások segítői	վերանորոգման աշխատողների օգնականներ	মেরামত কর্মীদের সাহায্যকারী	मरम्मत कर्मचारी सहयोगकर्ता	修理作業員のヘルパー	수리공 도우미	işçi yardımcılarını onar	?	konpondu langileen laguntzaileak	wafanyakazi wa kukarabati	?	
Installation, maintenance, and repair occupations	Rigger	rigger	?	rigger	árbocmester	սարսափելի	সজ্জিত ব্যক্তি	रेजर	張り付く	멍청이	armador	?	aparejadorea	mchezaji	装配工	
Installation, maintenance, and repair occupations	Safe repairer	pembaiki selamat	ohutu remonditöökoda	turvallinen korjaamo	biztonságos javítóműhely	անվտանգ վերանորոգող	নিরাপদ রক্ষণাবেক্ষণকারী	सुरक्षित मरम्मतकर्ता	安全な修理業者	안전한 수선공	?	aṣoju ailewu	seguru konponketa	mkarimu salama	安全的修理工	
Installation, maintenance, and repair occupations	Security systems installer	pemasang sistem keselamatan	turvasüsteemide paigaldaja	turvallisuusjärjestelmien asentaja	biztonsági rendszerek telepítője	?	নিরাপত্তা সিস্টেম ইনস্টলার	सुरक्षा प्रणाली स्थापनाकर्ता	セキュリティシステムインストーラ	보안 시스템 설치자	güvenlik sistemleri kurulumu	awọn ẹrọ iṣeto aabo	segurtasun sistemen instalatzailea	mfumo wa usalama wa mifumo	安全系统安装程序	
Installation, maintenance, and repair occupations	Signal and track switch repairers	pembaikan suis isyarat dan trek	signaali- ja rööbastee vahetuse remonditöökoda	?	jel- és nyomkövető javítóműhelyeket	ազդանշանային եւ անջատիչ անջատիչների վերանորոգողներ	সংকেত এবং ট্র্যাক সুইচ মেরামতকারী	संकेत र ट्रयाक स्विच मरम्मतकर्ता	信号およびトラックスイッチの修理担当者	신호 및 트랙 스위치 수리공	sinyal ve parça anahtarı tamircileri	ifihan agbara ati awọn atunṣe atunṣe orin	seinalea eta pista aldatzeko konpongailuak	ishara na kufuatilia watayarishaji wa kubadili	信号和轨道切换修理器	
Installation, maintenance, and repair occupations	Small engine mechanic	mekanik enjin kecil	väike mootorimehaanik	pieni moottorimekaanikko	kis motorszerelő	փոքր շարժիչ մեխանիկ	ছোট ইঞ্জিন মেকানিক	सानो इन्जिन मैकेनिक	小型エンジンメカニック	소형 엔진 정비사	küçük motor tamircisi	onisẹ ẹrọ mii kekere	motor mekanikari txikia	injini ndogo ya injini	小型引擎机械师	
Installation, maintenance, and repair occupations	Telecommunications equipment installer	pemasang peralatan telekomunikasi	telekommunikatsiooniseadmete paigaldaja	televiestintälaitteiden asentaja	távközlési berendezések telepítője	հեռահաղորդակցության սարքավորումների տեղադրող	টেলিযোগাযোগ যন্ত্রপাতি ইনস্টলার	दूरसंचार उपकरण स्थापनाकर्ता	通信機器インストーラ	통신 장비 설치자	telekomünikasyon ekipman kurucusu	ibaraẹnisọrọ ẹrọ ti ẹrọ-ẹrọ	telekomunikazioen ekipamendu instalatzailea	vifaa vya mawasiliano ya simu	电信设备安装人员	
Installation, maintenance, and repair occupations	Telecommunications equipment repairer	pembaikan peralatan telekomunikasi	telekommunikatsiooniseadmete parandus	tietoliikennelaitteiden korjaamo	távközlési berendezések javítóműhelye	հեռահաղորդակցային սարքավորումների վերանորոգող	টেলিযোগাযোগ যন্ত্রপাতি মেরামতকারী	दूरसंचार उपकरण मरम्मतकर्ता	通信機器修理業者	통신 장비 수리공	telekomünikasyon ekipmanı tamircisi	telecommunications ẹrọ repairer	telekomunikazio ekipamenduen konponketa	vifaa vya mawasiliano ya simu	电信设备修理商	
Installation, maintenance, and repair occupations	Telecommunications line installer	pemasang talian telekomunikasi	telekommunikatsiooniliinide paigaldaja	televiestinnän asennusohjelma	távközlési vonal telepítő	հեռահաղորդակցության գծերի տեղադրող	টেলিযোগাযোগ লাইন ইনস্টলার	दूरसंचार लाइन स्थापना	通信回線のインストーラ	통신 라인 설치자	telekomünikasyon hattı kurucu	telecommunication laini insitola	telekomunikazio lineen instalatzailea	mawasiliano ya simu ya kufunga installer	电信线路安装人员	
Installation, maintenance, and repair occupations	Telecommunications repairer	pembaik telekomunikasi	telekommunikatsiooni remonditöökoda	televiestinnän korjaamo	távközlési javítóműhely	հեռահաղորդակցության նորոգիչներ	টেলিযোগাযোগ মেরামতকারী	दूरसंचार मरम्मत	電気通信修理業者	통신 수리공	telekomünikasyon tamircisi	?	telekomunikazioen konponketa	?	电信修理工	
Installation, maintenance, and repair occupations	Transportation equipment electrical installer	alat pemasang elektrik pengangkutan	transpordivahendite elektriline paigaldaja	kuljetusvälineiden sähköasentaja	?	տրանսպորտային տեխնիկայի էլեկտրական տեղադրիչ	?	यातायात उपकरण बिजुली स्थापना	?	운송 장비 전기 설치자	ulaşım ekipmanları elektrik tesisatçısı	irin-ajo itanna eleto ti itanna	garraio ekipamendua instalatzaile elektrikoa	?	运输设备电气安装人员	
Installation, maintenance, and repair occupations	Transportation equipment electrical repairer	peralatan pengangkutan peralatan elektrik	transpordivahendid elektritööriistad	kuljetuslaitteiden sähköinen korjaamo	szállítóeszköz elektromos javítóműhely	տրանսպորտային տեխնիկայի էլեկտրական վերանորոգիչ	পরিবহন সরঞ্জাম বৈদ্যুতিক মেরামতকারী	यातायात उपकरण विद्युत मरम्मतकर्ता	輸送機器電気修理業者	운송 장비 전기 수리공	ulaşım ekipmanı elektrik tamircisi	ohun elo itanna ohun elo itanna	garraio-ekipamenduen konponketa elektrikoa	vifaa vya usafiri wa umeme	运输设备电气维修	
